date,season,year,month,day,workingday,weather,casual,registered,total
2011-03-25,Summer,2011,Mar,Fri,Working Day,Clear,300,1910,2210
2011-03-26,Summer,2011,Mar,Sat,Weekend/Holiday,Clear,981,1515,2496
2011-03-27,Summer,2011,Mar,Sun,Weekend/Holiday,Cloudy,472,1221,1693
2011-03-28,Summer,2011,Mar,Mon,Working Day,Clear,222,1806,2028
2011-03-29,Summer,2011,Mar,Tue,Working Day,Clear,317,2108,2425
2011-03-30,Summer,2011,Mar,Wed,Working Day,Cloudy,168,1368,1536
2011-03-31,Summer,2011,Mar,Thu,Working Day,Light Snow/Rain,179,1506,1685
2011-04-01,Summer,2011,Apr,Fri,Working Day,Cloudy,307,1920,2227
2011-04-02,Summer,2011,Apr,Sat,Weekend/Holiday,Cloudy,898,1354,2252
2011-04-03,Summer,2011,Apr,Sun,Weekend/Holiday,Clear,1651,1598,3249
2011-04-04,Summer,2011,Apr,Mon,Working Day,Clear,734,2381,3115
2011-04-05,Summer,2011,Apr,Tue,Working Day,Cloudy,167,1628,1795
2011-04-06,Summer,2011,Apr,Wed,Working Day,Clear,413,2395,2808
2011-04-07,Summer,2011,Apr,Thu,Working Day,Clear,571,2570,3141
2011-04-08,Summer,2011,Apr,Fri,Working Day,Cloudy,172,1299,1471
2011-04-09,Summer,2011,Apr,Sat,Weekend/Holiday,Cloudy,879,1576,2455
2011-04-10,Summer,2011,Apr,Sun,Weekend/Holiday,Cloudy,1188,1707,2895
2011-04-11,Summer,2011,Apr,Mon,Working Day,Cloudy,855,2493,3348
2011-04-12,Summer,2011,Apr,Tue,Working Day,Cloudy,257,1777,2034
2011-04-13,Summer,2011,Apr,Wed,Working Day,Cloudy,209,1953,2162
2011-04-14,Summer,2011,Apr,Thu,Working Day,Clear,529,2738,3267
2011-04-15,Summer,2011,Apr,Fri,Weekend/Holiday,Clear,642,2484,3126
2011-04-16,Summer,2011,Apr,Sat,Weekend/Holiday,Light Snow/Rain,121,674,795
2011-04-17,Summer,2011,Apr,Sun,Weekend/Holiday,Clear,1558,2186,3744
2011-04-18,Summer,2011,Apr,Mon,Working Day,Clear,669,2760,3429
2011-04-19,Summer,2011,Apr,Tue,Working Day,Cloudy,409,2795,3204
2011-04-20,Summer,2011,Apr,Wed,Working Day,Clear,613,3331,3944
2011-04-21,Summer,2011,Apr,Thu,Working Day,Clear,745,3444,4189
2011-04-22,Summer,2011,Apr,Fri,Working Day,Cloudy,177,1506,1683
2011-04-23,Summer,2011,Apr,Sat,Weekend/Holiday,Cloudy,1462,2574,4036
2011-04-24,Summer,2011,Apr,Sun,Weekend/Holiday,Cloudy,1710,2481,4191
2011-04-25,Summer,2011,Apr,Mon,Working Day,Clear,773,3300,4073
2011-04-26,Summer,2011,Apr,Tue,Working Day,Clear,678,3722,4400
2011-04-27,Summer,2011,Apr,Wed,Working Day,Cloudy,547,3325,3872
2011-04-28,Summer,2011,Apr,Thu,Working Day,Cloudy,569,3489,4058
2011-04-29,Summer,2011,Apr,Fri,Working Day,Clear,878,3717,4595
2011-04-30,Summer,2011,Apr,Sat,Weekend/Holiday,Clear,1965,3347,5312
2011-05-01,Summer,2011,May,Sun,Weekend/Holiday,Cloudy,1138,2213,3351
2011-05-02,Summer,2011,May,Mon,Working Day,Cloudy,847,3554,4401
2011-05-03,Summer,2011,May,Tue,Working Day,Cloudy,603,3848,4451
2011-05-04,Summer,2011,May,Wed,Working Day,Cloudy,255,2378,2633
2011-05-05,Summer,2011,May,Thu,Working Day,Clear,614,3819,4433
2011-05-06,Summer,2011,May,Fri,Working Day,Clear,894,3714,4608
2011-05-07,Summer,2011,May,Sat,Weekend/Holiday,Clear,1612,3102,4714
2011-05-08,Summer,2011,May,Sun,Weekend/Holiday,Clear,1401,2932,4333
2011-05-09,Summer,2011,May,Mon,Working Day,Clear,664,3698,4362
2011-05-10,Summer,2011,May,Tue,Working Day,Clear,694,4109,4803
2011-05-11,Summer,2011,May,Wed,Working Day,Clear,550,3632,4182
2011-05-12,Summer,2011,May,Thu,Working Day,Clear,695,4169,4864
2011-05-13,Summer,2011,May,Fri,Working Day,Cloudy,692,3413,4105
2011-05-14,Summer,2011,May,Sat,Weekend/Holiday,Cloudy,902,2507,3409
2011-05-15,Summer,2011,May,Sun,Weekend/Holiday,Cloudy,1582,2971,4553
2011-05-16,Summer,2011,May,Mon,Working Day,Clear,773,3185,3958
2011-05-17,Summer,2011,May,Tue,Working Day,Cloudy,678,3445,4123
2011-05-18,Summer,2011,May,Wed,Working Day,Cloudy,536,3319,3855
2011-05-19,Summer,2011,May,Thu,Working Day,Cloudy,735,3840,4575
2011-05-20,Summer,2011,May,Fri,Working Day,Clear,909,4008,4917
2011-05-21,Summer,2011,May,Sat,Weekend/Holiday,Clear,2258,3547,5805
2011-05-22,Summer,2011,May,Sun,Weekend/Holiday,Clear,1576,3084,4660
2011-05-23,Summer,2011,May,Mon,Working Day,Cloudy,836,3438,4274
2011-05-24,Summer,2011,May,Tue,Working Day,Cloudy,659,3833,4492
2011-05-25,Summer,2011,May,Wed,Working Day,Clear,740,4238,4978
2011-05-26,Summer,2011,May,Thu,Working Day,Clear,758,3919,4677
2011-05-27,Summer,2011,May,Fri,Working Day,Clear,871,3808,4679
2011-05-28,Summer,2011,May,Sat,Weekend/Holiday,Clear,2001,2757,4758
2011-05-29,Summer,2011,May,Sun,Weekend/Holiday,Clear,2355,2433,4788
2011-05-30,Summer,2011,May,Mon,Weekend/Holiday,Clear,1549,2549,4098
2011-05-31,Summer,2011,May,Tue,Working Day,Clear,673,3309,3982
2011-06-01,Summer,2011,Jun,Wed,Working Day,Cloudy,513,3461,3974
2011-06-02,Summer,2011,Jun,Thu,Working Day,Clear,736,4232,4968
2011-06-03,Summer,2011,Jun,Fri,Working Day,Clear,898,4414,5312
2011-06-04,Summer,2011,Jun,Sat,Weekend/Holiday,Clear,1869,3473,5342
2011-06-05,Summer,2011,Jun,Sun,Weekend/Holiday,Cloudy,1685,3221,4906
2011-06-06,Summer,2011,Jun,Mon,Working Day,Clear,673,3875,4548
2011-06-07,Summer,2011,Jun,Tue,Working Day,Clear,763,4070,4833
2011-06-08,Summer,2011,Jun,Wed,Working Day,Clear,676,3725,4401
2011-06-09,Summer,2011,Jun,Thu,Working Day,Cloudy,563,3352,3915
2011-06-10,Summer,2011,Jun,Fri,Working Day,Clear,815,3771,4586
2011-06-11,Summer,2011,Jun,Sat,Weekend/Holiday,Clear,1729,3237,4966
2011-06-12,Summer,2011,Jun,Sun,Weekend/Holiday,Clear,1467,2993,4460
2011-06-13,Summer,2011,Jun,Mon,Working Day,Clear,863,4157,5020
2011-06-14,Summer,2011,Jun,Tue,Working Day,Clear,727,4164,4891
2011-06-15,Summer,2011,Jun,Wed,Working Day,Clear,769,4411,5180
2011-06-16,Summer,2011,Jun,Thu,Working Day,Cloudy,545,3222,3767
2011-06-17,Summer,2011,Jun,Fri,Working Day,Clear,863,3981,4844
2011-06-18,Summer,2011,Jun,Sat,Weekend/Holiday,Clear,1807,3312,5119
2011-06-19,Summer,2011,Jun,Sun,Weekend/Holiday,Cloudy,1639,3105,4744
2011-06-20,Summer,2011,Jun,Mon,Working Day,Cloudy,699,3311,4010
2011-06-21,Fall,2011,Jun,Tue,Working Day,Cloudy,774,4061,4835
2011-06-22,Fall,2011,Jun,Wed,Working Day,Clear,661,3846,4507
2011-06-23,Fall,2011,Jun,Thu,Working Day,Cloudy,746,4044,4790
2011-06-24,Fall,2011,Jun,Fri,Working Day,Clear,969,4022,4991
2011-06-25,Fall,2011,Jun,Sat,Weekend/Holiday,Clear,1782,3420,5202
2011-06-26,Fall,2011,Jun,Sun,Weekend/Holiday,Clear,1920,3385,5305
2011-06-27,Fall,2011,Jun,Mon,Working Day,Cloudy,854,3854,4708
2011-06-28,Fall,2011,Jun,Tue,Working Day,Clear,732,3916,4648
2011-06-29,Fall,2011,Jun,Wed,Working Day,Clear,848,4377,5225
2011-06-30,Fall,2011,Jun,Thu,Working Day,Clear,1027,4488,5515
2011-07-01,Fall,2011,Jul,Fri,Working Day,Clear,1246,4116,5362
2011-07-02,Fall,2011,Jul,Sat,Weekend/Holiday,Clear,2204,2915,5119
2011-07-03,Fall,2011,Jul,Sun,Weekend/Holiday,Cloudy,2282,2367,4649
2011-07-04,Fall,2011,Jul,Mon,Weekend/Holiday,Cloudy,3065,2978,6043
2011-07-05,Fall,2011,Jul,Tue,Working Day,Clear,1031,3634,4665
2011-07-06,Fall,2011,Jul,Wed,Working Day,Clear,784,3845,4629
2011-07-07,Fall,2011,Jul,Thu,Working Day,Clear,754,3838,4592
2011-07-08,Fall,2011,Jul,Fri,Working Day,Cloudy,692,3348,4040
2011-07-09,Fall,2011,Jul,Sat,Weekend/Holiday,Clear,1988,3348,5336
2011-07-10,Fall,2011,Jul,Sun,Weekend/Holiday,Clear,1743,3138,4881
2011-07-11,Fall,2011,Jul,Mon,Working Day,Clear,723,3363,4086
2011-07-12,Fall,2011,Jul,Tue,Working Day,Clear,662,3596,4258
2011-07-13,Fall,2011,Jul,Wed,Working Day,Clear,748,3594,4342
2011-07-14,Fall,2011,Jul,Thu,Working Day,Clear,888,4196,5084
2011-07-15,Fall,2011,Jul,Fri,Working Day,Clear,1318,4220,5538
2011-07-16,Fall,2011,Jul,Sat,Weekend/Holiday,Clear,2418,3505,5923
2011-07-17,Fall,2011,Jul,Sun,Weekend/Holiday,Clear,2006,3296,5302
2011-07-18,Fall,2011,Jul,Mon,Working Day,Clear,841,3617,4458
2011-07-19,Fall,2011,Jul,Tue,Working Day,Clear,752,3789,4541
2011-07-20,Fall,2011,Jul,Wed,Working Day,Clear,644,3688,4332
2011-07-21,Fall,2011,Jul,Thu,Working Day,Cloudy,632,3152,3784
2011-07-22,Fall,2011,Jul,Fri,Working Day,Clear,562,2825,3387
2011-07-23,Fall,2011,Jul,Sat,Weekend/Holiday,Clear,987,2298,3285
2011-07-24,Fall,2011,Jul,Sun,Weekend/Holiday,Clear,1050,2556,3606
2011-07-25,Fall,2011,Jul,Mon,Working Day,Clear,568,3272,3840
2011-07-26,Fall,2011,Jul,Tue,Working Day,Clear,750,3840,4590
2011-07-27,Fall,2011,Jul,Wed,Working Day,Clear,755,3901,4656
2011-07-28,Fall,2011,Jul,Thu,Working Day,Clear,606,3784,4390
2011-07-29,Fall,2011,Jul,Fri,Working Day,Clear,670,3176,3846
2011-07-30,Fall,2011,Jul,Sat,Weekend/Holiday,Clear,1559,2916,4475
2011-07-31,Fall,2011,Jul,Sun,Weekend/Holiday,Clear,1524,2778,4302
2011-08-01,Fall,2011,Aug,Mon,Working Day,Clear,729,3537,4266
2011-08-02,Fall,2011,Aug,Tue,Working Day,Clear,801,4044,4845
2011-08-03,Fall,2011,Aug,Wed,Working Day,Cloudy,467,3107,3574
2011-08-04,Fall,2011,Aug,Thu,Working Day,Cloudy,799,3777,4576
2011-08-05,Fall,2011,Aug,Fri,Working Day,Clear,1023,3843,4866
2011-08-06,Fall,2011,Aug,Sat,Weekend/Holiday,Cloudy,1521,2773,4294
2011-08-07,Fall,2011,Aug,Sun,Weekend/Holiday,Clear,1298,2487,3785
2011-08-08,Fall,2011,Aug,Mon,Working Day,Clear,846,3480,4326
2011-08-09,Fall,2011,Aug,Tue,Working Day,Clear,907,3695,4602
2011-08-10,Fall,2011,Aug,Wed,Working Day,Clear,884,3896,4780
2011-08-11,Fall,2011,Aug,Thu,Working Day,Clear,812,3980,4792
2011-08-12,Fall,2011,Aug,Fri,Working Day,Clear,1051,3854,4905
2011-08-13,Fall,2011,Aug,Sat,Weekend/Holiday,Cloudy,1504,2646,4150
2011-08-14,Fall,2011,Aug,Sun,Weekend/Holiday,Cloudy,1338,2482,3820
2011-08-15,Fall,2011,Aug,Mon,Working Day,Clear,775,3563,4338
2011-08-16,Fall,2011,Aug,Tue,Working Day,Clear,721,4004,4725
2011-08-17,Fall,2011,Aug,Wed,Working Day,Clear,668,4026,4694
2011-08-18,Fall,2011,Aug,Thu,Working Day,Clear,639,3166,3805
2011-08-19,Fall,2011,Aug,Fri,Working Day,Cloudy,797,3356,4153
2011-08-20,Fall,2011,Aug,Sat,Weekend/Holiday,Clear,1914,3277,5191
2011-08-21,Fall,2011,Aug,Sun,Weekend/Holiday,Clear,1249,2624,3873
2011-08-22,Fall,2011,Aug,Mon,Working Day,Clear,833,3925,4758
2011-08-23,Fall,2011,Aug,Tue,Working Day,Clear,1281,4614,5895
2011-08-24,Fall,2011,Aug,Wed,Working Day,Clear,949,4181,5130
2011-08-25,Fall,2011,Aug,Thu,Working Day,Cloudy,435,3107,3542
2011-08-26,Fall,2011,Aug,Fri,Working Day,Clear,768,3893,4661
2011-08-27,Fall,2011,Aug,Sat,Weekend/Holiday,Cloudy,226,889,1115
2011-08-28,Fall,2011,Aug,Sun,Weekend/Holiday,Clear,1415,2919,4334
2011-08-29,Fall,2011,Aug,Mon,Working Day,Clear,729,3905,4634
2011-08-30,Fall,2011,Aug,Tue,Working Day,Clear,775,4429,5204
2011-08-31,Fall,2011,Aug,Wed,Working Day,Clear,688,4370,5058
2011-09-01,Fall,2011,Sep,Thu,Working Day,Clear,783,4332,5115
2011-09-02,Fall,2011,Sep,Fri,Working Day,Cloudy,875,3852,4727
2011-09-03,Fall,2011,Sep,Sat,Weekend/Holiday,Clear,1935,2549,4484
2011-09-04,Fall,2011,Sep,Sun,Weekend/Holiday,Clear,2521,2419,4940
2011-09-05,Fall,2011,Sep,Mon,Weekend/Holiday,Cloudy,1236,2115,3351
2011-09-06,Fall,2011,Sep,Tue,Working Day,Light Snow/Rain,204,2506,2710
2011-09-07,Fall,2011,Sep,Wed,Working Day,Light Snow/Rain,118,1878,1996
2011-09-08,Fall,2011,Sep,Thu,Working Day,Light Snow/Rain,153,1689,1842
2011-09-09,Fall,2011,Sep,Fri,Working Day,Cloudy,417,3127,3544
2011-09-10,Fall,2011,Sep,Sat,Weekend/Holiday,Clear,1750,3595,5345
2011-09-11,Fall,2011,Sep,Sun,Weekend/Holiday,Clear,1633,3413,5046
2011-09-12,Fall,2011,Sep,Mon,Working Day,Clear,690,4023,4713
2011-09-13,Fall,2011,Sep,Tue,Working Day,Clear,701,4062,4763
2011-09-14,Fall,2011,Sep,Wed,Working Day,Clear,647,4138,4785
2011-09-15,Fall,2011,Sep,Thu,Working Day,Cloudy,428,3231,3659
2011-09-16,Fall,2011,Sep,Fri,Working Day,Cloudy,742,4018,4760
2011-09-17,Fall,2011,Sep,Sat,Weekend/Holiday,Cloudy,1434,3077,4511
2011-09-18,Fall,2011,Sep,Sun,Weekend/Holiday,Clear,1353,2921,4274
2011-09-19,Fall,2011,Sep,Mon,Working Day,Cloudy,691,3848,4539
2011-09-20,Fall,2011,Sep,Tue,Working Day,Cloudy,438,3203,3641
2011-09-21,Fall,2011,Sep,Wed,Working Day,Cloudy,539,3813,4352
2011-09-22,Fall,2011,Sep,Thu,Working Day,Cloudy,555,4240,4795
2011-09-23,Winter,2011,Sep,Fri,Working Day,Cloudy,258,2137,2395
2011-09-24,Winter,2011,Sep,Sat,Weekend/Holiday,Cloudy,1776,3647,5423
2011-09-25,Winter,2011,Sep,Sun,Weekend/Holiday,Cloudy,1544,3466,5010
2011-09-26,Winter,2011,Sep,Mon,Working Day,Cloudy,684,3946,4630
2011-09-27,Winter,2011,Sep,Tue,Working Day,Cloudy,477,3643,4120
2011-09-28,Winter,2011,Sep,Wed,Working Day,Cloudy,480,3427,3907
2011-09-29,Winter,2011,Sep,Thu,Working Day,Clear,653,4186,4839
2011-09-30,Winter,2011,Sep,Fri,Working Day,Clear,830,4372,5202
2011-10-01,Winter,2011,Oct,Sat,Weekend/Holiday,Cloudy,480,1949,2429
2011-10-02,Winter,2011,Oct,Sun,Weekend/Holiday,Cloudy,616,2302,2918
2011-10-03,Winter,2011,Oct,Mon,Working Day,Cloudy,330,3240,3570
2011-10-04,Winter,2011,Oct,Tue,Working Day,Clear,486,3970,4456
2011-10-05,Winter,2011,Oct,Wed,Working Day,Clear,559,4267,4826
2011-10-06,Winter,2011,Oct,Thu,Working Day,Clear,639,4126,4765
2011-10-07,Winter,2011,Oct,Fri,Working Day,Clear,949,4036,4985
2011-10-08,Winter,2011,Oct,Sat,Weekend/Holiday,Clear,2235,3174,5409
2011-10-09,Winter,2011,Oct,Sun,Weekend/Holiday,Clear,2397,3114,5511
2011-10-10,Winter,2011,Oct,Mon,Weekend/Holiday,Clear,1514,3603,5117
2011-10-11,Winter,2011,Oct,Tue,Working Day,Cloudy,667,3896,4563
2011-10-12,Winter,2011,Oct,Wed,Working Day,Light Snow/Rain,217,2199,2416
2011-10-13,Winter,2011,Oct,Thu,Working Day,Cloudy,290,2623,2913
2011-10-14,Winter,2011,Oct,Fri,Working Day,Cloudy,529,3115,3644
2011-10-15,Winter,2011,Oct,Sat,Weekend/Holiday,Clear,1899,3318,5217
2011-10-16,Winter,2011,Oct,Sun,Weekend/Holiday,Clear,1748,3293,5041
2011-10-17,Winter,2011,Oct,Mon,Working Day,Clear,713,3857,4570
2011-10-18,Winter,2011,Oct,Tue,Working Day,Cloudy,637,4111,4748
2011-10-19,Winter,2011,Oct,Wed,Working Day,Light Snow/Rain,254,2170,2424
2011-10-20,Winter,2011,Oct,Thu,Working Day,Clear,471,3724,4195
2011-10-21,Winter,2011,Oct,Fri,Working Day,Clear,676,3628,4304
2011-10-22,Winter,2011,Oct,Sat,Weekend/Holiday,Clear,1499,2809,4308
2011-10-23,Winter,2011,Oct,Sun,Weekend/Holiday,Clear,1619,2762,4381
2011-10-24,Winter,2011,Oct,Mon,Working Day,Clear,699,3488,4187
2011-10-25,Winter,2011,Oct,Tue,Working Day,Clear,695,3992,4687
2011-10-26,Winter,2011,Oct,Wed,Working Day,Cloudy,404,3490,3894
2011-10-27,Winter,2011,Oct,Thu,Working Day,Cloudy,240,2419,2659
2011-10-28,Winter,2011,Oct,Fri,Working Day,Cloudy,456,3291,3747
2011-10-29,Winter,2011,Oct,Sat,Weekend/Holiday,Light Snow/Rain,57,570,627
2011-10-30,Winter,2011,Oct,Sun,Weekend/Holiday,Clear,885,2446,3331
2011-10-31,Winter,2011,Oct,Mon,Working Day,Clear,362,3307,3669
2011-11-01,Winter,2011,Nov,Tue,Working Day,Clear,410,3658,4068
2011-11-02,Winter,2011,Nov,Wed,Working Day,Clear,370,3816,4186
2011-11-03,Winter,2011,Nov,Thu,Working Day,Clear,318,3656,3974
2011-11-04,Winter,2011,Nov,Fri,Working Day,Cloudy,470,3576,4046
2011-11-05,Winter,2011,Nov,Sat,Weekend/Holiday,Clear,1156,2770,3926
2011-11-06,Winter,2011,Nov,Sun,Weekend/Holiday,Clear,952,2697,3649
2011-11-07,Winter,2011,Nov,Mon,Working Day,Clear,373,3662,4035
2011-11-08,Winter,2011,Nov,Tue,Working Day,Clear,376,3829,4205
2011-11-09,Winter,2011,Nov,Wed,Working Day,Clear,305,3804,4109
2011-11-10,Winter,2011,Nov,Thu,Working Day,Cloudy,190,2743,2933
2011-11-11,Winter,2011,Nov,Fri,Weekend/Holiday,Clear,440,2928,3368
2011-11-12,Winter,2011,Nov,Sat,Weekend/Holiday,Clear,1275,2792,4067
2011-11-13,Winter,2011,Nov,Sun,Weekend/Holiday,Clear,1004,2713,3717
2011-11-14,Winter,2011,Nov,Mon,Working Day,Clear,595,3891,4486
2011-11-15,Winter,2011,Nov,Tue,Working Day,Cloudy,449,3746,4195
2011-11-16,Winter,2011,Nov,Wed,Working Day,Light Snow/Rain,145,1672,1817
2011-11-17,Winter,2011,Nov,Thu,Working Day,Cloudy,139,2914,3053
2011-11-18,Winter,2011,Nov,Fri,Working Day,Clear,245,3147,3392
2011-11-19,Winter,2011,Nov,Sat,Weekend/Holiday,Clear,943,2720,3663
2011-11-20,Winter,2011,Nov,Sun,Weekend/Holiday,Cloudy,787,2733,3520
2011-11-21,Winter,2011,Nov,Mon,Working Day,Light Snow/Rain,220,2545,2765
2011-11-22,Winter,2011,Nov,Tue,Working Day,Light Snow/Rain,69,1538,1607
2011-11-23,Winter,2011,Nov,Wed,Working Day,Cloudy,112,2454,2566
2011-11-24,Winter,2011,Nov,Thu,Weekend/Holiday,Clear,560,935,1495
2011-11-25,Winter,2011,Nov,Fri,Working Day,Clear,1095,1697,2792
2011-11-26,Winter,2011,Nov,Sat,Weekend/Holiday,Clear,1249,1819,3068
2011-11-27,Winter,2011,Nov,Sun,Weekend/Holiday,Clear,810,2261,3071
2011-11-28,Winter,2011,Nov,Mon,Working Day,Clear,253,3614,3867
2011-11-29,Winter,2011,Nov,Tue,Working Day,Cloudy,96,2818,2914
2011-11-30,Winter,2011,Nov,Wed,Working Day,Clear,188,3425,3613
2011-12-01,Winter,2011,Dec,Thu,Working Day,Clear,182,3545,3727
2011-12-02,Winter,2011,Dec,Fri,Working Day,Clear,268,3672,3940
