date,season,year,month,hour,day,workingday,weather,casual,registered,total
2011-01-02,Spring,2011,Jan,6,Sun,Weekend/Holiday,Light Snow/Rain,0,2,2
2011-01-02,Spring,2011,Jan,7,Sun,Weekend/Holiday,Cloudy,0,1,1
2011-01-02,Spring,2011,Jan,8,Sun,Weekend/Holiday,Light Snow/Rain,0,8,8
2011-01-02,Spring,2011,Jan,9,Sun,Weekend/Holiday,Cloudy,1,19,20
2011-01-02,Spring,2011,Jan,10,Sun,Weekend/Holiday,Cloudy,7,46,53
2011-01-02,Spring,2011,Jan,11,Sun,Weekend/Holiday,Cloudy,16,54,70
2011-01-02,Spring,2011,Jan,12,Sun,Weekend/Holiday,Cloudy,20,73,93
2011-01-02,Spring,2011,Jan,13,Sun,Weekend/Holiday,Cloudy,11,64,75
2011-01-02,Spring,2011,Jan,14,Sun,Weekend/Holiday,Light Snow/Rain,4,55,59
2011-01-02,Spring,2011,Jan,15,Sun,Weekend/Holiday,Light Snow/Rain,19,55,74
2011-01-02,Spring,2011,Jan,16,Sun,Weekend/Holiday,Light Snow/Rain,9,67,76
2011-01-02,Spring,2011,Jan,17,Sun,Weekend/Holiday,Clear,7,58,65
2011-01-02,Spring,2011,Jan,18,Sun,Weekend/Holiday,Cloudy,10,43,53
2011-01-02,Spring,2011,Jan,19,Sun,Weekend/Holiday,Clear,1,29,30
2011-01-02,Spring,2011,Jan,20,Sun,Weekend/Holiday,Clear,5,17,22
2011-01-02,Spring,2011,Jan,21,Sun,Weekend/Holiday,Clear,11,20,31
2011-01-02,Spring,2011,Jan,22,Sun,Weekend/Holiday,Clear,0,9,9
2011-01-02,Spring,2011,Jan,23,Sun,Weekend/Holiday,Clear,0,8,8
2011-01-03,Spring,2011,Jan,0,Mon,Working Day,Clear,0,5,5
2011-01-03,Spring,2011,Jan,1,Mon,Working Day,Clear,0,2,2
2011-01-03,Spring,2011,Jan,4,Mon,Working Day,Clear,0,1,1
2011-01-03,Spring,2011,Jan,5,Mon,Working Day,Clear,0,3,3
2011-01-03,Spring,2011,Jan,6,Mon,Working Day,Clear,0,30,30
2011-01-03,Spring,2011,Jan,7,Mon,Working Day,Clear,1,63,64
2011-01-03,Spring,2011,Jan,8,Mon,Working Day,Clear,1,153,154
2011-01-03,Spring,2011,Jan,9,Mon,Working Day,Clear,7,81,88
2011-01-03,Spring,2011,Jan,10,Mon,Working Day,Clear,11,33,44
2011-01-03,Spring,2011,Jan,11,Mon,Working Day,Clear,10,41,51
2011-01-03,Spring,2011,Jan,12,Mon,Working Day,Clear,13,48,61
2011-01-03,Spring,2011,Jan,13,Mon,Working Day,Clear,8,53,61
2011-01-03,Spring,2011,Jan,14,Mon,Working Day,Clear,11,66,77
2011-01-03,Spring,2011,Jan,15,Mon,Working Day,Clear,14,58,72
2011-01-03,Spring,2011,Jan,16,Mon,Working Day,Clear,9,67,76
2011-01-03,Spring,2011,Jan,17,Mon,Working Day,Clear,11,146,157
2011-01-03,Spring,2011,Jan,18,Mon,Working Day,Clear,9,148,157
2011-01-03,Spring,2011,Jan,19,Mon,Working Day,Clear,8,102,110
2011-01-03,Spring,2011,Jan,20,Mon,Working Day,Clear,3,49,52
2011-01-03,Spring,2011,Jan,21,Mon,Working Day,Clear,3,49,52
2011-01-03,Spring,2011,Jan,22,Mon,Working Day,Clear,0,20,20
2011-01-03,Spring,2011,Jan,23,Mon,Working Day,Clear,1,11,12
2011-01-04,Spring,2011,Jan,0,Tue,Working Day,Clear,0,5,5
2011-01-04,Spring,2011,Jan,1,Tue,Working Day,Clear,0,2,2
2011-01-04,Spring,2011,Jan,2,Tue,Working Day,Clear,0,1,1
2011-01-04,Spring,2011,Jan,4,Tue,Working Day,Clear,0,2,2
2011-01-04,Spring,2011,Jan,5,Tue,Working Day,Clear,0,4,4
2011-01-04,Spring,2011,Jan,6,Tue,Working Day,Clear,0,36,36
2011-01-04,Spring,2011,Jan,7,Tue,Working Day,Clear,2,92,94
2011-01-04,Spring,2011,Jan,8,Tue,Working Day,Clear,2,177,179
2011-01-04,Spring,2011,Jan,9,Tue,Working Day,Clear,2,98,100
2011-01-04,Spring,2011,Jan,10,Tue,Working Day,Cloudy,5,37,42
2011-01-04,Spring,2011,Jan,11,Tue,Working Day,Clear,7,50,57
2011-01-04,Spring,2011,Jan,12,Tue,Working Day,Clear,12,66,78
2011-01-04,Spring,2011,Jan,13,Tue,Working Day,Clear,18,79,97
2011-01-04,Spring,2011,Jan,14,Tue,Working Day,Clear,9,54,63
2011-01-04,Spring,2011,Jan,15,Tue,Working Day,Clear,17,48,65
2011-01-04,Spring,2011,Jan,16,Tue,Working Day,Clear,15,68,83
2011-01-04,Spring,2011,Jan,17,Tue,Working Day,Clear,10,202,212
2011-01-04,Spring,2011,Jan,18,Tue,Working Day,Clear,3,179,182
2011-01-04,Spring,2011,Jan,19,Tue,Working Day,Clear,2,110,112
2011-01-04,Spring,2011,Jan,20,Tue,Working Day,Clear,1,53,54
2011-01-04,Spring,2011,Jan,21,Tue,Working Day,Clear,0,48,48
2011-01-04,Spring,2011,Jan,22,Tue,Working Day,Clear,1,34,35
2011-01-04,Spring,2011,Jan,23,Tue,Working Day,Clear,2,9,11
2011-01-05,Spring,2011,Jan,0,Wed,Working Day,Clear,0,6,6
2011-01-05,Spring,2011,Jan,1,Wed,Working Day,Clear,0,6,6
2011-01-05,Spring,2011,Jan,2,Wed,Working Day,Clear,0,2,2
2011-01-05,Spring,2011,Jan,4,Wed,Working Day,Clear,0,2,2
2011-01-05,Spring,2011,Jan,5,Wed,Working Day,Clear,0,3,3
2011-01-05,Spring,2011,Jan,6,Wed,Working Day,Clear,0,33,33
2011-01-05,Spring,2011,Jan,7,Wed,Working Day,Clear,1,87,88
2011-01-05,Spring,2011,Jan,8,Wed,Working Day,Clear,3,192,195
2011-01-05,Spring,2011,Jan,9,Wed,Working Day,Clear,6,109,115
2011-01-05,Spring,2011,Jan,10,Wed,Working Day,Clear,4,53,57
2011-01-05,Spring,2011,Jan,11,Wed,Working Day,Clear,12,34,46
2011-01-05,Spring,2011,Jan,12,Wed,Working Day,Clear,5,74,79
2011-01-05,Spring,2011,Jan,13,Wed,Working Day,Clear,6,65,71
2011-01-05,Spring,2011,Jan,14,Wed,Working Day,Clear,10,52,62
2011-01-05,Spring,2011,Jan,15,Wed,Working Day,Clear,7,55,62
2011-01-05,Spring,2011,Jan,16,Wed,Working Day,Clear,4,85,89
2011-01-05,Spring,2011,Jan,17,Wed,Working Day,Clear,4,186,190
2011-01-05,Spring,2011,Jan,18,Wed,Working Day,Clear,3,166,169
2011-01-05,Spring,2011,Jan,19,Wed,Working Day,Clear,5,127,132
2011-01-05,Spring,2011,Jan,20,Wed,Working Day,Clear,7,82,89
2011-01-05,Spring,2011,Jan,21,Wed,Working Day,Clear,3,40,43
2011-01-05,Spring,2011,Jan,22,Wed,Working Day,Clear,1,41,42
2011-01-05,Spring,2011,Jan,23,Wed,Working Day,Clear,1,18,19
2011-01-06,Spring,2011,Jan,0,Thu,Working Day,Clear,0,11,11
2011-01-06,Spring,2011,Jan,1,Thu,Working Day,Clear,0,4,4
2011-01-06,Spring,2011,Jan,2,Thu,Working Day,Clear,0,2,2
2011-01-06,Spring,2011,Jan,4,Thu,Working Day,Cloudy,0,1,1
2011-01-06,Spring,2011,Jan,5,Thu,Working Day,Cloudy,0,4,4
2011-01-06,Spring,2011,Jan,6,Thu,Working Day,Cloudy,0,36,36
2011-01-06,Spring,2011,Jan,7,Thu,Working Day,Cloudy,0,95,95
2011-01-06,Spring,2011,Jan,8,Thu,Working Day,Clear,3,216,219
2011-01-06,Spring,2011,Jan,9,Thu,Working Day,Cloudy,6,116,122
2011-01-06,Spring,2011,Jan,10,Thu,Working Day,Clear,3,42,45
2011-01-06,Spring,2011,Jan,11,Thu,Working Day,Clear,2,57,59
2011-01-06,Spring,2011,Jan,12,Thu,Working Day,Clear,6,78,84
2011-01-06,Spring,2011,Jan,13,Thu,Working Day,Clear,12,55,67
2011-01-06,Spring,2011,Jan,14,Thu,Working Day,Clear,11,59,70
2011-01-06,Spring,2011,Jan,15,Thu,Working Day,Clear,8,54,62
2011-01-06,Spring,2011,Jan,16,Thu,Working Day,Clear,12,74,86
2011-01-06,Spring,2011,Jan,17,Thu,Working Day,Clear,9,163,172
2011-01-06,Spring,2011,Jan,18,Thu,Working Day,Clear,5,158,163
2011-01-06,Spring,2011,Jan,19,Thu,Working Day,Clear,3,109,112
2011-01-06,Spring,2011,Jan,20,Thu,Working Day,Clear,3,66,69
2011-01-06,Spring,2011,Jan,21,Thu,Working Day,Cloudy,0,48,48
2011-01-06,Spring,2011,Jan,22,Thu,Working Day,Cloudy,1,51,52
2011-01-06,Spring,2011,Jan,23,Thu,Working Day,Cloudy,4,19,23
2011-01-07,Spring,2011,Jan,0,Fri,Working Day,Cloudy,4,13,17
2011-01-07,Spring,2011,Jan,1,Fri,Working Day,Cloudy,2,5,7
2011-01-07,Spring,2011,Jan,2,Fri,Working Day,Cloudy,0,1,1
2011-01-07,Spring,2011,Jan,4,Fri,Working Day,Cloudy,0,1,1
2011-01-07,Spring,2011,Jan,5,Fri,Working Day,Light Snow/Rain,0,5,5
2011-01-07,Spring,2011,Jan,6,Fri,Working Day,Cloudy,8,26,34
2011-01-07,Spring,2011,Jan,7,Fri,Working Day,Clear,8,76,84
2011-01-07,Spring,2011,Jan,8,Fri,Working Day,Clear,20,190,210
2011-01-07,Spring,2011,Jan,9,Fri,Working Day,Clear,9,125,134
2011-01-07,Spring,2011,Jan,10,Fri,Working Day,Clear,16,47,63
2011-01-07,Spring,2011,Jan,11,Fri,Working Day,Cloudy,19,48,67
2011-01-07,Spring,2011,Jan,12,Fri,Working Day,Cloudy,9,50,59
2011-01-07,Spring,2011,Jan,13,Fri,Working Day,Cloudy,9,64,73
2011-01-07,Spring,2011,Jan,14,Fri,Working Day,Cloudy,7,43,50
2011-01-07,Spring,2011,Jan,15,Fri,Working Day,Cloudy,9,63,72
2011-01-07,Spring,2011,Jan,16,Fri,Working Day,Cloudy,5,82,87
2011-01-07,Spring,2011,Jan,17,Fri,Working Day,Cloudy,9,178,187
2011-01-07,Spring,2011,Jan,18,Fri,Working Day,Clear,7,116,123
2011-01-07,Spring,2011,Jan,19,Fri,Working Day,Clear,3,92,95
2011-01-07,Spring,2011,Jan,20,Fri,Working Day,Clear,1,50,51
2011-01-07,Spring,2011,Jan,21,Fri,Working Day,Clear,0,39,39
2011-01-07,Spring,2011,Jan,22,Fri,Working Day,Cloudy,2,34,36
2011-01-07,Spring,2011,Jan,23,Fri,Working Day,Cloudy,1,14,15
2011-01-08,Spring,2011,Jan,0,Sat,Weekend/Holiday,Cloudy,1,24,25
2011-01-08,Spring,2011,Jan,1,Sat,Weekend/Holiday,Cloudy,1,15,16
2011-01-08,Spring,2011,Jan,2,Sat,Weekend/Holiday,Cloudy,3,13,16
2011-01-08,Spring,2011,Jan,3,Sat,Weekend/Holiday,Light Snow/Rain,0,7,7
2011-01-08,Spring,2011,Jan,4,Sat,Weekend/Holiday,Light Snow/Rain,0,1,1
2011-01-08,Spring,2011,Jan,5,Sat,Weekend/Holiday,Cloudy,0,5,5
2011-01-08,Spring,2011,Jan,6,Sat,Weekend/Holiday,Cloudy,0,2,2
2011-01-08,Spring,2011,Jan,7,Sat,Weekend/Holiday,Cloudy,1,8,9
2011-01-08,Spring,2011,Jan,8,Sat,Weekend/Holiday,Light Snow/Rain,0,15,15
2011-01-08,Spring,2011,Jan,9,Sat,Weekend/Holiday,Light Snow/Rain,0,20,20
2011-01-08,Spring,2011,Jan,10,Sat,Weekend/Holiday,Cloudy,5,56,61
2011-01-08,Spring,2011,Jan,11,Sat,Weekend/Holiday,Cloudy,2,60,62
2011-01-08,Spring,2011,Jan,12,Sat,Weekend/Holiday,Cloudy,8,90,98
2011-01-08,Spring,2011,Jan,13,Sat,Weekend/Holiday,Clear,7,95,102
2011-01-08,Spring,2011,Jan,14,Sat,Weekend/Holiday,Clear,12,83,95
2011-01-08,Spring,2011,Jan,15,Sat,Weekend/Holiday,Clear,5,69,74
2011-01-08,Spring,2011,Jan,16,Sat,Weekend/Holiday,Clear,8,68,76
2011-01-08,Spring,2011,Jan,17,Sat,Weekend/Holiday,Clear,5,64,69
2011-01-08,Spring,2011,Jan,18,Sat,Weekend/Holiday,Clear,3,52,55
2011-01-08,Spring,2011,Jan,19,Sat,Weekend/Holiday,Clear,4,26,30
2011-01-08,Spring,2011,Jan,20,Sat,Weekend/Holiday,Clear,0,28,28
2011-01-08,Spring,2011,Jan,21,Sat,Weekend/Holiday,Clear,2,35,37
2011-01-08,Spring,2011,Jan,22,Sat,Weekend/Holiday,Clear,1,33,34
2011-01-08,Spring,2011,Jan,23,Sat,Weekend/Holiday,Clear,0,22,22
2011-01-09,Spring,2011,Jan,0,Sun,Weekend/Holiday,Clear,1,24,25
2011-01-09,Spring,2011,Jan,1,Sun,Weekend/Holiday,Clear,0,12,12
2011-01-09,Spring,2011,Jan,2,Sun,Weekend/Holiday,Clear,0,11,11
2011-01-09,Spring,2011,Jan,3,Sun,Weekend/Holiday,Clear,0,4,4
2011-01-09,Spring,2011,Jan,4,Sun,Weekend/Holiday,Clear,0,1,1
2011-01-09,Spring,2011,Jan,5,Sun,Weekend/Holiday,Clear,0,1,1
2011-01-09,Spring,2011,Jan,6,Sun,Weekend/Holiday,Clear,0,1,1
2011-01-09,Spring,2011,Jan,7,Sun,Weekend/Holiday,Clear,1,5,6
2011-01-09,Spring,2011,Jan,8,Sun,Weekend/Holiday,Clear,0,10,10
2011-01-09,Spring,2011,Jan,9,Sun,Weekend/Holiday,Clear,0,19,19
2011-01-09,Spring,2011,Jan,10,Sun,Weekend/Holiday,Clear,0,49,49
2011-01-09,Spring,2011,Jan,11,Sun,Weekend/Holiday,Clear,2,47,49
2011-01-09,Spring,2011,Jan,12,Sun,Weekend/Holiday,Clear,4,79,83
2011-01-09,Spring,2011,Jan,13,Sun,Weekend/Holiday,Clear,6,69,75
2011-01-09,Spring,2011,Jan,14,Sun,Weekend/Holiday,Clear,8,64,72
2011-01-09,Spring,2011,Jan,15,Sun,Weekend/Holiday,Clear,5,77,82
2011-01-09,Spring,2011,Jan,16,Sun,Weekend/Holiday,Clear,13,79,92
2011-01-09,Spring,2011,Jan,17,Sun,Weekend/Holiday,Clear,3,59,62
2011-01-09,Spring,2011,Jan,18,Sun,Weekend/Holiday,Clear,4,44,48
2011-01-09,Spring,2011,Jan,19,Sun,Weekend/Holiday,Clear,1,40,41
2011-01-09,Spring,2011,Jan,20,Sun,Weekend/Holiday,Clear,0,38,38
2011-01-09,Spring,2011,Jan,21,Sun,Weekend/Holiday,Clear,1,19,20
2011-01-09,Spring,2011,Jan,22,Sun,Weekend/Holiday,Clear,5,10,15
2011-01-09,Spring,2011,Jan,23,Sun,Weekend/Holiday,Clear,0,6,6
2011-01-10,Spring,2011,Jan,0,Mon,Working Day,Clear,2,3,5
2011-01-10,Spring,2011,Jan,1,Mon,Working Day,Clear,1,0,1
2011-01-10,Spring,2011,Jan,2,Mon,Working Day,Clear,0,3,3
2011-01-10,Spring,2011,Jan,3,Mon,Working Day,Clear,0,1,1
2011-01-10,Spring,2011,Jan,4,Mon,Working Day,Clear,1,2,3
2011-01-10,Spring,2011,Jan,5,Mon,Working Day,Clear,0,3,3
2011-01-10,Spring,2011,Jan,6,Mon,Working Day,Clear,0,31,31
2011-01-10,Spring,2011,Jan,7,Mon,Working Day,Clear,2,75,77
2011-01-10,Spring,2011,Jan,8,Mon,Working Day,Cloudy,4,184,188
2011-01-10,Spring,2011,Jan,9,Mon,Working Day,Cloudy,2,92,94
2011-01-10,Spring,2011,Jan,10,Mon,Working Day,Cloudy,0,31,31
2011-01-10,Spring,2011,Jan,11,Mon,Working Day,Cloudy,2,28,30
2011-01-10,Spring,2011,Jan,12,Mon,Working Day,Cloudy,5,47,52
2011-01-10,Spring,2011,Jan,13,Mon,Working Day,Cloudy,4,50,54
2011-01-10,Spring,2011,Jan,14,Mon,Working Day,Cloudy,0,47,47
2011-01-10,Spring,2011,Jan,15,Mon,Working Day,Cloudy,2,43,45
2011-01-10,Spring,2011,Jan,16,Mon,Working Day,Clear,4,70,74
2011-01-10,Spring,2011,Jan,17,Mon,Working Day,Clear,4,174,178
2011-01-10,Spring,2011,Jan,18,Mon,Working Day,Clear,1,154,155
2011-01-10,Spring,2011,Jan,19,Mon,Working Day,Clear,3,92,95
2011-01-10,Spring,2011,Jan,20,Mon,Working Day,Clear,1,73,74
2011-01-10,Spring,2011,Jan,21,Mon,Working Day,Clear,1,37,38
2011-01-10,Spring,2011,Jan,22,Mon,Working Day,Clear,2,22,24
2011-01-10,Spring,2011,Jan,23,Mon,Working Day,Clear,0,18,18
2011-01-11,Spring,2011,Jan,0,Tue,Working Day,Clear,2,10,12
2011-01-11,Spring,2011,Jan,1,Tue,Working Day,Clear,0,3,3
2011-01-11,Spring,2011,Jan,2,Tue,Working Day,Cloudy,0,3,3
2011-01-11,Spring,2011,Jan,5,Tue,Working Day,Cloudy,0,6,6
2011-01-11,Spring,2011,Jan,6,Tue,Working Day,Cloudy,0,27,27
2011-01-11,Spring,2011,Jan,7,Tue,Working Day,Cloudy,2,97,99
2011-01-11,Spring,2011,Jan,8,Tue,Working Day,Cloudy,3,214,217
2011-01-11,Spring,2011,Jan,9,Tue,Working Day,Cloudy,3,127,130
2011-01-11,Spring,2011,Jan,10,Tue,Working Day,Cloudy,3,51,54
2011-01-11,Spring,2011,Jan,11,Tue,Working Day,Cloudy,4,31,35
2011-01-11,Spring,2011,Jan,12,Tue,Working Day,Cloudy,2,55,57
2011-01-11,Spring,2011,Jan,13,Tue,Working Day,Cloudy,6,46,52
2011-01-11,Spring,2011,Jan,14,Tue,Working Day,Cloudy,3,60,63
2011-01-11,Spring,2011,Jan,15,Tue,Working Day,Cloudy,2,45,47
2011-01-11,Spring,2011,Jan,16,Tue,Working Day,Cloudy,4,72,76
2011-01-11,Spring,2011,Jan,17,Tue,Working Day,Cloudy,6,130,136
2011-01-11,Spring,2011,Jan,18,Tue,Working Day,Light Snow/Rain,1,94,95
2011-01-11,Spring,2011,Jan,19,Tue,Working Day,Light Snow/Rain,0,51,51
2011-01-11,Spring,2011,Jan,20,Tue,Working Day,Light Snow/Rain,0,32,32
2011-01-11,Spring,2011,Jan,21,Tue,Working Day,Light Snow/Rain,0,20,20
2011-01-11,Spring,2011,Jan,22,Tue,Working Day,Light Snow/Rain,1,28,29
2011-01-11,Spring,2011,Jan,23,Tue,Working Day,Light Snow/Rain,1,18,19
2011-01-12,Spring,2011,Jan,0,Wed,Working Day,Cloudy,0,7,7
2011-01-12,Spring,2011,Jan,1,Wed,Working Day,Cloudy,0,6,6
2011-01-12,Spring,2011,Jan,2,Wed,Working Day,Clear,0,1,1
2011-01-12,Spring,2011,Jan,5,Wed,Working Day,Clear,0,5,5
2011-01-12,Spring,2011,Jan,6,Wed,Working Day,Clear,0,16,16
2011-01-12,Spring,2011,Jan,7,Wed,Working Day,Clear,0,54,54
2011-01-12,Spring,2011,Jan,8,Wed,Working Day,Clear,3,125,128
2011-01-12,Spring,2011,Jan,9,Wed,Working Day,Clear,3,78,81
2011-01-12,Spring,2011,Jan,10,Wed,Working Day,Clear,0,39,39
2011-01-12,Spring,2011,Jan,11,Wed,Working Day,Clear,3,32,35
2011-01-12,Spring,2011,Jan,12,Wed,Working Day,Clear,3,52,55
2011-01-12,Spring,2011,Jan,13,Wed,Working Day,Clear,0,49,49
2011-01-12,Spring,2011,Jan,14,Wed,Working Day,Clear,0,44,44
2011-01-12,Spring,2011,Jan,15,Wed,Working Day,Clear,1,48,49
2011-01-12,Spring,2011,Jan,16,Wed,Working Day,Clear,5,63,68
2011-01-12,Spring,2011,Jan,17,Wed,Working Day,Clear,0,139,139
2011-01-12,Spring,2011,Jan,18,Wed,Working Day,Clear,2,135,137
2011-01-12,Spring,2011,Jan,19,Wed,Working Day,Clear,1,82,83
2011-01-12,Spring,2011,Jan,20,Wed,Working Day,Clear,2,54,56
2011-01-12,Spring,2011,Jan,21,Wed,Working Day,Clear,0,57,57
2011-01-12,Spring,2011,Jan,22,Wed,Working Day,Clear,1,32,33
2011-01-12,Spring,2011,Jan,23,Wed,Working Day,Clear,1,19,20
2011-01-13,Spring,2011,Jan,0,Thu,Working Day,Clear,1,6,7
2011-01-13,Spring,2011,Jan,1,Thu,Working Day,Clear,0,2,2
2011-01-13,Spring,2011,Jan,2,Thu,Working Day,Clear,0,2,2
2011-01-13,Spring,2011,Jan,3,Thu,Working Day,Clear,0,3,3
2011-01-13,Spring,2011,Jan,4,Thu,Working Day,Clear,0,4,4
2011-01-13,Spring,2011,Jan,5,Thu,Working Day,Clear,0,3,3
2011-01-13,Spring,2011,Jan,6,Thu,Working Day,Clear,0,28,28
2011-01-13,Spring,2011,Jan,7,Thu,Working Day,Clear,0,72,72
2011-01-13,Spring,2011,Jan,8,Thu,Working Day,Clear,5,197,202
2011-01-13,Spring,2011,Jan,9,Thu,Working Day,Clear,2,137,139
2011-01-13,Spring,2011,Jan,10,Thu,Working Day,Cloudy,2,36,38
2011-01-13,Spring,2011,Jan,11,Thu,Working Day,Cloudy,4,33,37
2011-01-13,Spring,2011,Jan,12,Thu,Working Day,Clear,3,49,52
2011-01-13,Spring,2011,Jan,13,Thu,Working Day,Clear,2,81,83
2011-01-13,Spring,2011,Jan,14,Thu,Working Day,Clear,3,39,42
2011-01-13,Spring,2011,Jan,15,Thu,Working Day,Clear,5,55,60
2011-01-13,Spring,2011,Jan,16,Thu,Working Day,Clear,2,76,78
2011-01-13,Spring,2011,Jan,17,Thu,Working Day,Clear,4,158,162
2011-01-13,Spring,2011,Jan,18,Thu,Working Day,Clear,3,141,144
2011-01-13,Spring,2011,Jan,19,Thu,Working Day,Clear,1,98,99
2011-01-13,Spring,2011,Jan,20,Thu,Working Day,Clear,0,64,64
2011-01-13,Spring,2011,Jan,21,Thu,Working Day,Clear,0,40,40
2011-01-13,Spring,2011,Jan,22,Thu,Working Day,Clear,0,30,30
2011-01-13,Spring,2011,Jan,23,Thu,Working Day,Clear,1,14,15
2011-01-14,Spring,2011,Jan,0,Fri,Working Day,Clear,0,14,14
2011-01-14,Spring,2011,Jan,1,Fri,Working Day,Clear,0,5,5
2011-01-14,Spring,2011,Jan,2,Fri,Working Day,Clear,0,1,1
2011-01-14,Spring,2011,Jan,3,Fri,Working Day,Clear,0,1,1
2011-01-14,Spring,2011,Jan,5,Fri,Working Day,Clear,0,8,8
2011-01-14,Spring,2011,Jan,6,Fri,Working Day,Clear,0,17,17
2011-01-14,Spring,2011,Jan,7,Fri,Working Day,Clear,0,70,70
2011-01-14,Spring,2011,Jan,8,Fri,Working Day,Clear,2,156,158
2011-01-14,Spring,2011,Jan,9,Fri,Working Day,Clear,0,117,117
2011-01-14,Spring,2011,Jan,10,Fri,Working Day,Clear,4,40,44
2011-01-14,Spring,2011,Jan,11,Fri,Working Day,Clear,6,47,53
2011-01-14,Spring,2011,Jan,12,Fri,Working Day,Clear,2,59,61
2011-01-14,Spring,2011,Jan,13,Fri,Working Day,Clear,4,73,77
2011-01-14,Spring,2011,Jan,14,Fri,Working Day,Clear,5,59,64
2011-01-14,Spring,2011,Jan,15,Fri,Working Day,Clear,9,59,68
2011-01-14,Spring,2011,Jan,16,Fri,Working Day,Clear,3,87,90
2011-01-14,Spring,2011,Jan,17,Fri,Working Day,Clear,4,155,159
2011-01-14,Spring,2011,Jan,18,Fri,Working Day,Clear,5,134,139
2011-01-14,Spring,2011,Jan,19,Fri,Working Day,Clear,3,89,92
2011-01-14,Spring,2011,Jan,20,Fri,Working Day,Clear,0,68,68
2011-01-14,Spring,2011,Jan,21,Fri,Working Day,Clear,4,48,52
2011-01-14,Spring,2011,Jan,22,Fri,Working Day,Cloudy,2,34,36
2011-01-14,Spring,2011,Jan,23,Fri,Working Day,Cloudy,1,26,27
2011-01-15,Spring,2011,Jan,0,Sat,Weekend/Holiday,Clear,3,25,28
2011-01-15,Spring,2011,Jan,1,Sat,Weekend/Holiday,Cloudy,2,18,20
2011-01-15,Spring,2011,Jan,2,Sat,Weekend/Holiday,Cloudy,0,12,12
2011-01-15,Spring,2011,Jan,3,Sat,Weekend/Holiday,Cloudy,1,7,8
2011-01-15,Spring,2011,Jan,4,Sat,Weekend/Holiday,Cloudy,0,5,5
2011-01-15,Spring,2011,Jan,5,Sat,Weekend/Holiday,Clear,0,1,1
2011-01-15,Spring,2011,Jan,6,Sat,Weekend/Holiday,Clear,1,2,3
2011-01-15,Spring,2011,Jan,7,Sat,Weekend/Holiday,Clear,1,9,10
2011-01-15,Spring,2011,Jan,8,Sat,Weekend/Holiday,Clear,1,22,23
2011-01-15,Spring,2011,Jan,9,Sat,Weekend/Holiday,Clear,2,31,33
2011-01-15,Spring,2011,Jan,10,Sat,Weekend/Holiday,Clear,2,57,59
2011-01-15,Spring,2011,Jan,11,Sat,Weekend/Holiday,Clear,18,54,72
